Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0018138944,0.0,0.0,0.0,0.0,0.0,0.0,0.0018346497,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0002745216,-0.0,0.0,0.0,0.0165063087,0.0203369334,0.0,0.0,0.0133881951,0.017191479,0.0,0.0,0.0,0.0005064599,0.0,0.0,0.0,0.0,0.0006564653,0.0003908759,-0.0,-0.0,0.0446595065,0.0440472066,0.0440413952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.027497420080583573,0.025871505960822105,0.0,0.0,0.0,0.0,0.0,0.027544353069571304,0.025825699791312218,0.012128965929150581,-9.778514504432678e-05,0.005884881131350994,0.03343946114182472,9.693062020232901e-05,0.044540293514728546,0.00021206235396675766,0.0008094087725601137,-0.00015266549598891288,0.022316986694931984,0.018727567046880722,0.016650719363535436,0.020328624218992796,0.0046356450766325,0.004288563970476389,0.04097793620011844,0.04429330673444271,2.2435666323872283e-05,0.0011960907140746713,5.370879080146551e-05,0.002022255359907222,0.00012659691856242716,-4.4083594730182085e-07,0.07274583727121353,0.07088406383991241,0.021081276872709276,0.020442390025663757,-0.00011419081420172006,-8.007716678548604e-05,0.15466051177338486,0.10470381010930291,0.10476875679801026,1.7081380065064877e-05,0.01815386302769184,0.019580747932195663,0.00032427674159407616,0.0002241283655166626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999666512012482,0.1785248965024948,0.34733521938323975,0.12986987829208374,1.7016884088516235,1.3571851253509521,1.0514285564422607
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.05423655406967239,0.0426119789481163,0.0,0.0,0.0,0.0,0.0,0.05429568160025101,0.0424923300743103,0.024518340826034546,-0.00021457253023982048,0.011215468868613243,0.06579665839672089,0.00020976804080419242,0.08678068220615387,0.00030412100022658706,0.001204623423890704,-0.0003034992259927094,0.04901232197880745,0.04148624464869499,0.016577236880742863,0.020124392068304266,0.00889900978654623,0.00827550608664751,0.06810307314458847,0.07079958911278458,1.7241001842194237e-05,0.0022780674044042826,0.0001282544108107686,0.003841259253330994,0.00021010851196479052,-6.891357770655304e-05,0.14724721014499664,0.1433657556772232,0.04474967838042068,0.04323178424447022,-0.00023421572404913604,-0.00012668179988395423,0.2625329867155365,0.16018887613801652,0.16032851854985503,1.0503292287467048e-05,0.03915662690997124,0.04171816259622574,0.0007813765550963581,0.0006213923916220665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4163987636566162,0.35234174132347107,0.7228668928146362,0.26066407561302185,3.4214065074920654,2.603707790374756,2.1231257915496826
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.08084008078865662,0.05105959624052048,0.0,0.0,0.0,0.0,0.0,0.08088961984109802,0.05081891641020775,0.037666842341423035,-0.0003334820503368974,0.016910510137677193,0.09722934663295746,0.0002338959602639079,0.13100236654281616,9.186029637930915e-05,0.0017693950114413977,-0.0005395624320954084,0.0813906118273735,0.0696633905172348,0.016483849423308782,0.019846329210506646,0.012727276422083378,0.011963939294219017,0.09657933377301026,0.09911967073210144,-5.067729944130406e-05,0.003284214064478874,0.00022354639077093452,0.005767221076269722,0.0002964790619444102,-0.00010395955905551091,0.2264331579208374,0.22049088776111603,0.07585408377863159,0.07317119564814759,-0.00034961270284838974,-0.00010794425179483369,0.36618214104966734,0.20846509191024323,0.2086652852441452,-5.1750899729086086e-05,0.06280037760734558,0.06645715236663818,0.001978824380785227,0.0021737755741924047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999553442001343,0.5148606300354004,1.111336350440979,0.4026804566383362,5.157379150390625,3.8116297721862793,3.1547279357910156
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.10858442323258896,0.06737877428531647,0.0,0.0,0.0,0.0,0.0,0.10860701159539338,0.06703012436628342,0.05380333214998245,-0.0004807906807400286,0.023231765255331993,0.13290344178676605,0.00018899173301178962,0.1789986789226532,0.00047710086801089346,0.00205302299534328,-0.0007133292965590954,0.1163330227136612,0.09918351471424103,0.016380752165858763,0.01966378870143255,0.016684575006365776,0.01563161611557007,0.1293995314991043,0.13238249528393403,-0.00013407134974841028,0.0038094513583928347,0.0003717231738846749,0.010471073520047093,0.0006875746184960008,9.774422505870461e-05,0.31866204738616943,0.31079742312431335,0.12080921581926041,0.1175290026498375,-0.0005314511945471168,-0.00021069908689241856,0.46170976383650514,0.2520790845620575,0.25234989076750486,-2.5718687538756058e-05,0.08711358904838562,0.0916314572095871,0.006251125130802393,0.007655197288841009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9824949502944946,0.666211724281311,1.5020228624343872,0.5522482395172119,7.168835639953613,4.908673286437988,4.028021812438965
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.13355386772920075,0.08269400894641876,0.0,0.0,0.0,0.0,0.0,0.1334982140310852,0.08219270408153534,0.07167524099349976,-0.0006089449161663651,0.03057071752846241,0.16826131939888,0.00017273187404498458,0.24060480296611786,0.001455016783438623,0.002940107095219469,-0.0009460854344069958,0.15302306413650513,0.12803325057029724,0.01645140543805593,0.019412251138017506,0.020549986511468887,0.01914656162261963,0.16536805035010835,0.17095693204925386,-0.00016776561096776277,0.004534346982836723,0.0007093435269780457,0.016935570511917877,0.0012716702185571194,0.00047723710304126143,0.4192318022251129,0.40792787075042725,0.18287374484677277,0.17856613505497437,-0.0003028476203326136,5.856037023477256e-05,0.5477907508491638,0.29256920521456603,0.29292547706668703,7.044076937745558e-06,0.11324654519557953,0.11706719547510147,0.01634378358721733,0.019848497584462166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3115789890289307,0.854419469833374,1.8304678201675415,0.6965904235839844,9.541913032531738,6.04191780090332,4.486677169799805
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.13115690819492187,0.08142317831516266,0.0,0.0,0.0,0.0,0.0,0.13100553371858062,0.08081921935081482,0.07679445296525955,-0.000623776635620743,0.0316682904958725,0.17460212111473083,3.728210867848247e-05,0.26714015007019043,0.0026555615477263927,0.0031085143771212103,-0.000865036272443831,0.14925652742385864,0.12107185274362564,0.016552944287638437,0.019272814900059925,0.02093394286930561,0.01939939707517624,0.17388519741470795,0.18199058244780883,-9.449839853914455e-05,0.004244617186486721,0.0008058524108491838,0.022715420747651673,0.0015768764357635022,0.0006735071656294167,0.4355863332748413,0.42460763454437256,0.21501754841845397,0.21115486490072785,-0.00022782802989240736,0.00013745784235652536,0.520505443244104,0.2813799120065445,0.28174181282314303,2.5992392693297006e-05,0.11491949111223221,0.11722432076931,0.027858512476086617,0.032429225742816925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.359122633934021,0.896462082862854,1.7858763933181763,0.7352803349494934,10.130338668823242,5.903216361999512,3.8709957599639893
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.12430134159489822,0.06556768715381622,0.0,0.0,0.0,0.0,0.0,0.12408916672320099,0.06489135324954987,0.07874131947755814,-0.000587028858717531,0.03524896502494812,0.17705529928207397,-0.00011666477075777948,0.325557142496109,0.0017920791869983077,0.0037816270359090566,-0.0008169269422069192,0.13799618184566498,0.10753494501113892,0.01648199059114796,0.01889157235560802,0.0219278521835804,0.020268600434064865,0.17970587876370697,0.19153353946520232,-0.00011867642751894891,0.00397844472900033,0.000728821731172502,0.02725803631960373,0.0018100527191777587,0.0009386299061588943,0.44987502694129944,0.43934401869773865,0.24387583354696654,0.24040107453852233,-0.00012023687304463238,0.00024842022685334086,0.499848667552121,0.27681353683839416,0.2771734036075211,-1.411080393154407e-05,0.11604353785514832,0.11698529869318008,0.039867378771305084,0.045917388051748276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5001327991485596,0.9762637615203857,1.6464897394180298,0.7201069593429565,10.357597351074219,5.972524166107178,3.555016279220581
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.11446376405227127,0.04556454345583916,0.0,0.0,0.0,0.0,0.0,0.11422663030524598,0.04490284621715546,0.07630392909049988,-0.0005821516388095915,0.0381803885102272,0.17565476894378662,-0.0001198029494844377,0.404887318611145,0.0019440383184701204,0.0032862001098692417,-0.0006534743588417768,0.11607342958450317,0.0877407044172287,0.016521552037108266,0.018793541143332832,0.02198144979774952,0.020518898963928223,0.1867119763225586,0.2029518000501053,-6.379961996572092e-05,0.003412783145904541,0.001492724404670298,0.03394488248454132,0.0020223074599443674,0.0012953442055732012,0.45606911182403564,0.4464220404624939,0.2662933442378021,0.26397371055071106,-0.00011777877807617188,0.00018040656868834049,0.4917288273224609,0.2836181447151474,0.2839630619149521,-8.589863864472136e-05,0.11121290922164917,0.11218217015266418,0.04750417172908783,0.05650530010461807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66111159324646,1.0597528219223022,1.507230520248413,0.7223082780838013,10.565505027770996,6.01291036605835,3.233503818511963
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.10384670735930404,0.026105847209692,0.0,0.0,0.0,0.0,0.0,0.10364904276259766,0.025457458570599556,0.07372733950614929,-0.0006320109241642058,0.04032256081700325,0.16886840760707855,-4.269897908670828e-05,0.468455970287323,0.001162172295153141,0.001754271681420505,-0.0003789722977671772,0.09593245387077332,0.07259240746498108,0.016553483797576395,0.018961238055106144,0.021357839927077293,0.020326122641563416,0.1913065798336731,0.21182077564404297,-2.0916462744935416e-05,0.002806591335684061,0.002931545954197645,0.03996939372057152,0.002249963034590006,0.0016362768365070224,0.45476165413856506,0.44655174016952515,0.2751343875216095,0.2745454953104675,0.0003131699631921947,0.0006895398837514222,0.49467141180088503,0.29472486671154785,0.2950397543773529,-0.00016215682262554765,0.1040184274315834,0.10663403570652008,0.05090588703751564,0.06239626929163933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7358499765396118,1.13813054561615,1.437253475189209,0.7124952077865601,10.346196174621582,6.1677093505859375,3.186431407928467
